City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
281,Qui Nhon,VN,81.77,overcast clouds,13.7667,109.2333,Khách sạn Hải Âu Quy Nhơn - Seagull Hotel
283,Key Largo,US,88.0,broken clouds,25.0865,-80.4473,Bayside Inn Key Largo
284,Eyl,SO,89.4,few clouds,7.9803,49.8164,Amiin Hotel
285,Pangkalanbuun,ID,74.19,overcast clouds,-2.6833,111.6167,Grand Kecubung Hotel
286,Sibolga,ID,77.18,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
288,Faanui,PF,80.13,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
289,Pathein,MM,78.87,overcast clouds,16.7833,94.7333,Pathein Hotel
290,Imamoglu,TR,85.71,clear sky,37.2651,35.6572,İSAK TATAR
293,Wenling,CN,74.86,light rain,28.3669,121.36,Hanting Express Wenling Wanchang North Road
294,Nishihara,JP,82.45,broken clouds,26.1842,127.7558,Minshuku Agaihama
295,Yei,SS,78.51,overcast clouds,4.095,30.6779,Twins Hotel Yei
296,Sinnamary,GF,82.2,scattered clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
300,Darnah,LY,77.16,clear sky,32.767,22.6367,فندق الفردوس
301,Ndola,ZM,77.32,clear sky,-12.9587,28.6366,Chabanga Lodge iSpot
302,Arara,BR,74.46,broken clouds,-6.8283,-35.7583,Conjunto Luiza Mendes
303,Mossendjo,CG,80.73,broken clouds,-2.9506,12.7261,HOTEL D'ASSISE
304,Alofi,NU,75.09,overcast clouds,-19.0595,-169.9187,Taloa Heights
305,Yaring,TH,79.68,overcast clouds,6.8662,101.3689,สถานที่จัดงานแต่ง SOFEE & DORN
306,Rockland,US,70.05,overcast clouds,41.1668,-74.0496,National Camp Association
308,Hambantota,LK,84.54,few clouds,6.1241,81.1185,Bungalow 63
309,Kudahuvadhoo,MV,83.66,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
311,Cayenne,GF,84.09,light rain,4.9333,-52.3333,Hôtel Le Dronmi
312,Esperantina,BR,86.16,clear sky,-3.9017,-42.2336,Hotel Bela Vista
313,Benjamin Constant,BR,80.73,clear sky,-4.3831,-70.0311,CASA AVALIADA
316,Matara,LK,79.63,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
318,Garchitorena,PH,81.45,scattered clouds,13.8804,123.6946,Site
320,Sakaiminato,JP,71.62,light rain,35.55,133.2333,Italian pasley
328,Kupang,ID,77.4,overcast clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
333,Cabo San Lucas,MX,80.62,overcast clouds,22.8909,-109.9124,Vista Roof Restaurant
334,Moerai,PF,75.42,overcast clouds,-22.4333,-151.3333,Le Manotel
337,Markova,UA,83.98,clear sky,48.6758,24.4138,Vas.VOM
338,Vorozhba,UA,80.47,clear sky,51.1733,34.2192,Будинок відпочинку локомотивних бригад
340,Fereydun Kenar,IR,78.66,clear sky,36.6864,52.5225,Khezer Shahr Tourist Hotel
341,Hope Mills,US,73.72,clear sky,34.9704,-78.9453,"Holiday Inn Express & Suites Hope Mills-Fayetteville Arpt, an IHG Hotel"
342,Panaba,MX,78.1,overcast clouds,21.2833,-88.2667,Hotel Don Fernando
347,Fukue,JP,71.96,heavy intensity rain,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
349,Masuda,JP,72.19,moderate rain,34.6667,131.85,Masuda Green Hotel Morris
350,Masuguru,TZ,85.98,clear sky,-11.3667,38.4167,
352,Zuya,UA,82.29,few clouds,45.0531,34.3154,
354,Mana,GF,81.61,light rain,5.6592,-53.7767,LE SAMANA
357,Kotaparh,IN,81.91,heavy intensity rain,19.15,82.35,Atul Pattnaik
361,Nichinan,JP,72.25,light rain,31.6,131.3667,Guest House Aki
363,Caravelas,BR,77.54,few clouds,-17.7125,-39.2481,Pousada dos Navegantes
365,Thinadhoo,MV,84.22,overcast clouds,0.5333,72.9333,
366,Tura,IN,73.54,broken clouds,25.5198,90.2201,Hotel RIKMAN Continental
372,Westport,US,72.36,clear sky,41.1415,-73.3579,The Westport Inn
373,Saint George,US,71.8,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
374,Gizo,SB,81.55,overcast clouds,-8.103,156.8419,Imagination Island
377,Santa Rosa,PH,86.09,broken clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
378,Ixtapa,MX,80.22,broken clouds,20.7,-105.2,hotel la terminal
379,Semnan,IR,88.43,scattered clouds,35.5729,53.3971,Semnan Tourist Hotel
383,Santa Marta,CO,81.77,overcast clouds,11.2408,-74.199,Hotel La Ballena Azul
384,Katobu,ID,74.46,overcast clouds,-4.9408,122.5276,La Ode Husein
387,Lodja,CD,82.02,overcast clouds,-3.4833,23.4333,
388,Dondo,MZ,76.51,overcast clouds,-19.6094,34.7431,Arco Iris
389,Svay Rieng,KH,84.38,overcast clouds,11.0879,105.7993,Apsara guesthouse
391,Zhangjiakou,CN,77.79,light rain,40.81,114.8794,Shell Zhangjiakou City Qiaodong District Ginza Hotel
394,Bambous Virieux,MU,70.05,light rain,-20.3428,57.7575,Casa Tia Villa
397,Obregon,NI,78.75,overcast clouds,11.9566,-85.9636,Hostal Casa Aryen
398,Yenagoa,NG,82.58,moderate rain,4.9247,6.2642,Aridolf Resort Wellness and Spa
399,Mikhaylovka,RU,86.79,clear sky,50.06,43.2379,5 Komnat
404,Mandalgovi,MN,72.25,overcast clouds,45.7625,106.2708,В.Ганбат
405,Zemlyansk,RU,83.84,clear sky,51.9041,38.7334,
406,Inirida,CO,71.08,light rain,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
407,Olinda,BR,83.93,broken clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
408,Namatanai,PG,79.32,broken clouds,-3.6667,152.4333,Seagulls Inn Namatani
409,Grand Gaube,MU,70.2,moderate rain,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
410,Banda Aceh,ID,80.8,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
413,Namwala,ZM,81.23,clear sky,-15.7504,26.4384,Corner Point Lodge
414,Zaysan,KZ,72.3,clear sky,47.4667,84.8667,Ерлан үй
416,Nanakuli,US,76.1,clear sky,21.3906,-158.1547,Camp Pālehua
420,Miandrivazo,MG,83.82,clear sky,-19.5167,45.4667,Hôtel Arc En Ciel Miandrivazo
421,Luba,GQ,77.79,moderate rain,3.4568,8.5547,
424,Litija,SI,89.62,clear sky,46.0586,14.8225,Gostilna Kovač - Kovač Marko s.p.
426,Angoche,MZ,76.75,scattered clouds,-16.2325,39.9086,Guest House HESADA
