City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description,Country,Date
155,Koulamoutou,-1.1303,12.4736,82.78,63,93,2.57,overcast clouds,GA,2022-06-20 14:04:41
156,Bengkulu,-3.8004,102.2655,77.11,89,100,3.22,overcast clouds,ID,2022-06-20 14:04:41
157,Sao Filipe,14.8961,-24.4956,73.13,95,100,9.53,moderate rain,CV,2022-06-20 14:04:42
158,Naifaru,5.4444,73.3657,82.63,76,100,16.31,overcast clouds,MV,2022-06-20 14:04:43
159,Otane,-39.8833,176.6333,43.54,86,100,6.33,overcast clouds,NZ,2022-06-20 14:04:43
160,Rocha,-34.4833,-54.3333,53.87,63,7,3.74,clear sky,UY,2022-06-20 14:04:44
161,Edson,53.5835,-116.4356,54.36,72,16,5.73,few clouds,CA,2022-06-20 14:04:45
162,Clyde River,70.4692,-68.5914,32.92,91,36,4.25,scattered clouds,CA,2022-06-20 14:04:45
163,Cabra,37.4725,-4.4421,84.85,27,36,14.97,scattered clouds,ES,2022-06-20 14:04:46
164,Sao Joao Da Barra,-21.6403,-41.0511,75.29,73,98,5.91,overcast clouds,BR,2022-06-20 14:04:47
165,San Patricio,28.017,-97.5169,85.87,65,9,7.23,clear sky,US,2022-06-20 14:04:47
166,Severnyy-Kospashskiy,59.0925,57.8008,56.61,97,100,12.68,moderate rain,RU,2022-06-20 14:04:48
167,Bathsheba,13.2167,-59.5167,86.61,66,75,21.85,broken clouds,BB,2022-06-20 14:04:48
168,Bethel,41.3712,-73.414,70.52,56,0,8.05,clear sky,US,2022-06-20 14:04:49
169,Inuvik,68.3499,-133.7218,42.93,63,96,6.35,overcast clouds,CA,2022-06-20 14:04:49
170,Yeppoon,-23.1333,150.7333,60.58,83,97,11.43,overcast clouds,AU,2022-06-20 14:04:51
171,Coffs Harbour,-30.3,153.1333,52.12,87,13,0.0,few clouds,AU,2022-06-20 14:04:51
172,Kavieng,-2.5744,150.7967,81.03,76,63,4.0,broken clouds,PG,2022-06-20 14:04:52
173,Tazovskiy,67.4667,78.7,71.24,41,96,7.56,overcast clouds,RU,2022-06-20 14:04:53
174,San Cristobal,7.7669,-72.225,73.58,70,100,5.37,overcast clouds,VE,2022-06-20 14:04:53
175,Saint-Pierre,-21.3393,55.4781,71.91,88,75,16.11,light rain,RE,2022-06-20 14:04:55
176,Baghdad,33.3406,44.4009,116.04,7,0,19.64,clear sky,IQ,2022-06-20 14:04:56
177,Arrecife,28.963,-13.5477,78.78,53,75,17.27,broken clouds,ES,2022-06-20 14:04:56
178,Halifax,44.6453,-63.5724,57.22,91,100,5.75,overcast clouds,CA,2022-06-20 13:53:46
179,Beyneu,45.3167,55.2,90.34,20,65,19.04,broken clouds,KZ,2022-06-20 14:04:57
180,Novyy Urengoy,66.0833,76.6333,79.65,32,85,9.73,overcast clouds,RU,2022-06-20 14:04:58
